seqLen,predLen,modelName,modelType,seed,mse,mae
96,96,CycleNet,mlp,seed1024,0.13551990687847137,0.22936441004276276
96,192,CycleNet,mlp,seed1024,0.15331174433231354,0.24642391502857208
96,336,CycleNet,mlp,seed1024,0.17162729799747467,0.2657650113105774
96,720,CycleNet,mlp,seed1024,0.2173415571451187,0.30416956543922424
192,96,CycleNet,mlp,seed1024,0.1283119022846222,0.22270703315734863
192,192,CycleNet,mlp,seed1024,0.14865849912166595,0.2424168437719345
192,336,CycleNet,mlp,seed1024,0.1656898707151413,0.2604844272136688
192,720,CycleNet,mlp,seed1024,0.20489497482776642,0.29715150594711304
336,96,CycleNet,mlp,seed1024,0.12985382974147797,0.22403086721897125
336,192,CycleNet,mlp,seed1024,0.14743877947330475,0.2420307695865631
336,336,CycleNet,mlp,seed1024,0.16578520834445953,0.26197388768196106
336,720,CycleNet,mlp,seed1024,0.20256294310092926,0.29678279161453247
720,96,CycleNet,mlp,seed1024,0.12981578707695007,0.22635844349861145
720,192,CycleNet,mlp,seed1024,0.1476621776819229,0.24421490728855133
720,336,CycleNet,mlp,seed1024,0.16273973882198334,0.26121705770492554
720,720,CycleNet,mlp,seed1024,0.20186930894851685,0.2981753945350647
96,96,CycleNetQM,mlp,seed1024,0.1377354860305786,0.2312936633825302
96,192,CycleNetQM,mlp,seed1024,0.1537850946187973,0.24622344970703125
96,336,CycleNetQM,mlp,seed1024,0.17094695568084717,0.2638360559940338
96,720,CycleNetQM,mlp,seed1024,0.2082071751356125,0.2959462106227875
192,96,CycleNetQM,mlp,seed1024,0.12999580800533295,0.22385439276695251
192,192,CycleNetQM,mlp,seed1024,0.14697398245334625,0.23995116353034973
192,336,CycleNetQM,mlp,seed1024,0.16444365680217743,0.25786611437797546
192,720,CycleNetQM,mlp,seed1024,0.20319823920726776,0.292237251996994
336,96,CycleNetQM,mlp,seed1024,0.1289767324924469,0.22316285967826843
336,192,CycleNetQM,mlp,seed1024,0.14730767905712128,0.2425501048564911
336,336,CycleNetQM,mlp,seed1024,0.16219373047351837,0.2571551203727722
336,720,CycleNetQM,mlp,seed1024,0.20138627290725708,0.2910800278186798
720,96,CycleNetQM,mlp,seed1024,0.12988503277301788,0.22530655562877655
720,192,CycleNetQM,mlp,seed1024,0.14643613994121552,0.2409244179725647
720,336,CycleNetQM,mlp,seed1024,0.16257260739803314,0.2582683861255646
720,720,CycleNetQM,mlp,seed1024,0.19872641563415527,0.2921578884124756
96,192,Linear,linear,seed1024,0.19634117186069489,0.2843782901763916
96,96,Linear,linear,seed1024,0.19705885648727417,0.2815260589122772
96,336,Linear,linear,seed1024,0.2096031755208969,0.3002549707889557
96,720,Linear,linear,seed1024,0.24476785957813263,0.33261460065841675
192,192,Linear,linear,seed1024,0.16510659456253052,0.2613368034362793
192,96,Linear,linear,seed1024,0.15340763330459595,0.24988579750061035
